kbaID,kbaURL,kbaTitle,kbaTitleLength,createdAgeInDays,updateAgeInDays,outdated,voteSum,voteCount,negativeVotes,kbaLabels,kbaLabelCount,imgCount,failedImages,externalImages,keyWordMatched
5964769284883,https://aura.support.neo4j.com/hc/en-us/articles/5964769284883-How-much-do-I-pay-when-my-database-is-paused-,How much do I pay when my database is paused?,45,6,6,False,0,0,0,"PAUSE, cost, paused",3,3,0,,database
5937489169043,https://aura.support.neo4j.com/hc/en-us/articles/5937489169043-TransientException-Database-not-up-to-the-requested-version,TransientException  Database not up to the requested version,60,7,5,False,0,0,0,TransientException,1,0,0,,
5787249790739,https://aura.support.neo4j.com/hc/en-us/articles/5787249790739-Role-Based-Access-Control-RBAC-in-Neo4j-AuraDB-Enterprise,Role-Based Access Control (RBAC) in Neo4j AuraDB Enterprise,59,13,13,False,0,0,0,"access control, RBAC, roles, revoke, users, grant, show role, revoke role, built-in roles, rights, privileges, role, create user, custom roles, enterprise-only",15,0,0,,database
5661883134355,https://aura.support.neo4j.com/hc/en-us/articles/5661883134355-Changing-the-data-store-format-when-migrating-to-AuraDB,Changing the data store format when migrating to AuraDB,55,19,11,False,0,0,0,"migrate, migration, store, admin-copy command, store-info, store format",6,0,0,,database
5647938983059,https://aura.support.neo4j.com/hc/en-us/articles/5647938983059-How-to-connect-to-Aura-DB-from-neovis-,How to connect to Aura DB from neovis?,38,20,19,False,0,0,0,neovis,1,0,0,,dbid
5490982523027,https://aura.support.neo4j.com/hc/en-us/articles/5490982523027-Edit-View-mode-toggle-missing-in-Bloom-for-Aura-DB,Edit/View mode toggle missing in Bloom for Aura DB,50,26,8,False,0,0,0,"Bloom, edit, toggle, mode, switch",5,1,0,,database
5364551290387,https://aura.support.neo4j.com/hc/en-us/articles/5364551290387-Using-Data-Importer-To-Load-Data-Into-AuraDB,Using Data Importer To Load Data Into AuraDB,44,32,32,False,0,0,0,data importer,1,7,0,,database
5349104174611,https://aura.support.neo4j.com/hc/en-us/articles/5349104174611-How-to-enable-Javascript-driver-logging-,How to enable Javascript driver logging ?,41,32,32,False,0,0,0,"javascript, driver, logging, debug, debugging",5,0,0,,
5290730835859,https://aura.support.neo4j.com/hc/en-us/articles/5290730835859--Could-not-perform-discovery-No-routing-servers-available-while-connecting-to-an-AuraDB-instance-from-Neo4j-browser,'Could not perform discovery. No routing servers available' while connecting to an AuraDB instance from Neo4j browser,117,34,0,False,2,2,0,"routing, unable connect, Routing error, No Routing, discovery, connect, ServiceUnavailable",7,1,0,,database
5132142725907,https://aura.support.neo4j.com/hc/en-us/articles/5132142725907-My-account-was-terminated-can-I-get-my-data-,My account was terminated can I get my data?,44,41,39,False,0,0,0,"account, terminated, deleted",3,0,0,,
5128851692307,https://aura.support.neo4j.com/hc/en-us/articles/5128851692307-AuraDB-Professional-to-AuraDB-Enterprise-Migration-Guide,AuraDB Professional to AuraDB Enterprise Migration Guide,56,41,41,False,1,1,0,"enterprise, migration, professional to enterprise",3,2,0,,database
5111886576275,https://aura.support.neo4j.com/hc/en-us/articles/5111886576275-Monitoring-Aura-Database-From-Console-Metrics,Monitoring Aura Database From Console Metrics,45,42,41,False,0,0,0,"console, metrics, monitor, monitoring, MEMORY, storage usage, CPU, page cache, storage used",9,5,0,,database
4816349073043,https://aura.support.neo4j.com/hc/en-us/articles/4816349073043-Unable-to-login-to-the-Aura-Console-,Unable to login to the Aura Console ,36,54,30,False,21,21,0,"login error, Login, password reset, register, registering, sign in, sign up, sign-in, sign-up, Login Failed, email-in-use, Unable login, email in use, subscribe",14,4,0,,database
4679902485523,https://aura.support.neo4j.com/hc/en-us/articles/4679902485523-Data-Processing-Agreement-DPA-for-AuraDB-and-AuraDS,Data Processing Agreement (DPA) for AuraDB and AuraDS,53,60,60,False,0,0,0,"Terms of service, TOS, europe, DPA, privacy, EU, law, processing, Data Processing Agreement, GDPR, European union, data protection",12,0,0,,
4647394271379,https://aura.support.neo4j.com/hc/en-us/articles/4647394271379-Enabling-debug-Bolt-logs-for-the-Go-driver,Enabling debug Bolt logs for the Go driver,42,61,61,False,0,0,0,"golang, driver, bolt, go, debug, bolt debug, withConsoleLogger",7,0,0,,
4533517285139,https://aura.support.neo4j.com/hc/en-us/articles/4533517285139-Unable-to-see-captions-on-nodes-in-Neo4j-Browser,Unable to see captions on nodes in Neo4j Browser,48,69,60,False,0,0,0,"Caption, Labels",2,2,0,,
4477966457363,https://aura.support.neo4j.com/hc/en-us/articles/4477966457363-How-to-switch-the-display-modes-in-Bloom-,How to switch the display modes in Bloom ?,42,75,74,False,0,0,0,"Bloom, properties, perspectives, display, cytoscape, visualization, rendering, render, Bloom 1.9",9,1,0,,
4458199233939,https://aura.support.neo4j.com/hc/en-us/articles/4458199233939-NEO4J-Aura-for-GCP,NEO4J Aura for GCP,18,77,4,False,0,0,0,"billing, GCP",2,18,0,,database
4416090515219,https://aura.support.neo4j.com/hc/en-us/articles/4416090515219-Indexes-Capture-Drop-Recreate-existing,Indexes - Capture / Drop / Recreate existing,44,105,33,False,0,0,0,index,1,1,0,,database
4415148378387,https://aura.support.neo4j.com/hc/en-us/articles/4415148378387-User-management-for-Aura-Console-Enterprise-tier-only-,User management for Aura Console (Enterprise tier only),55,116,62,False,-1,1,-1,"security, authentication, console, enterprise, access, Login, revoke",7,0,0,,database
4412695667603,https://aura.support.neo4j.com/hc/en-us/articles/4412695667603-Access-to-Neo4j-Aura-Console-via-GCP,Access to Neo4j Aura Console via GCP,36,146,146,False,0,0,0,"aura console, GCP",2,1,0,,
4412703278099,https://aura.support.neo4j.com/hc/en-us/articles/4412703278099-Importing-database-Export-Dumps-from-Neo4j-AuraDB-to-a-local-on-premise-Neo4j,Importing database Export/Dumps from Neo4j AuraDB to a local / on-premise Neo4j,79,147,72,False,-1,1,-1,"import, export, upgrade, dump, versions, datastore, neo4j-admin load, local database, Load, on prem, on-prem, local, local db, update",14,0,0,,database
4412131924883,https://aura.support.neo4j.com/hc/en-us/articles/4412131924883-How-to-wipe-out-delete-all-the-content-in-a-Neo4j-AuraDB-Database-,How to wipe out / delete all the content in a Neo4j AuraDB Database ?,69,154,118,False,0,0,0,"delete, delete database, empty, wipe, clear, trash",6,0,0,,database
4412131544339,https://aura.support.neo4j.com/hc/en-us/articles/4412131544339-Aura-Console-and-MFA-,Aura Console and MFA ,21,154,111,False,0,0,0,"auth, authentication, google auth, Google, MFA, CONSOLE, multi factor, token, 2FA",9,0,0,,
4411528328595,https://aura.support.neo4j.com/hc/en-us/articles/4411528328595-How-to-override-the-Java-driver-version-when-using-Spring-boot-,How to override the Java driver version when using Spring boot ?,64,161,152,False,0,0,0,"java, java spring, spring boot, SDN, java driver, maven, gradle, pom.xml, driver version, override, gradle.properties",11,0,0,,
4411343700115,https://aura.support.neo4j.com/hc/en-us/articles/4411343700115-Aura-Enterprise-How-is-my-data-encrypted-at-rest-,Aura Enterprise : How is my data encrypted at rest ?,52,164,159,False,0,0,0,"encryption, REST, GCP, AES-256, encryption at rest, AWS, KMS, key mkey management, key management service, AES256, data at rest, encro",12,0,0,,
4411192964883,https://aura.support.neo4j.com/hc/en-us/articles/4411192964883-What-types-of-payment-cards-are-accepted-for-Aura-,What types of payment cards are accepted for Aura ?,51,166,110,False,0,0,0,"billing, credit card, payment, payments, invoice, debit card, payment card, American express, amex, CUP, china unionpay, china union pay, Diners, mastercard, visa, prepaid, pre-paid, wallet, subscription, google pay, apple pay, wechat pay, Alipay",23,0,0,,
4411117004691,https://aura.support.neo4j.com/hc/en-us/articles/4411117004691-How-to-recover-your-queries-saved-in-Favourites-following-the-change-in-Aura-Browser-base-URL-,"How to recover your queries saved in ""Favourites"" following the change in Aura Browser base URL ?",97,167,167,False,0,0,0,"browser, queries, AuraDB browser, Aura Browser, URL, favorite, favourite, bookmark",8,0,0,,dbid
4411043338771,https://aura.support.neo4j.com/hc/en-us/articles/4411043338771-How-to-enable-logging-with-Spring-boot-for-the-Java-driver-,How to enable logging with Spring boot for the Java driver ?,60,168,146,False,0,0,0,"java, logging, java spring, spring, springboot, spring boot, logs, SDN, debug, trace",10,0,0,,
4411057518995,https://aura.support.neo4j.com/hc/en-us/articles/4411057518995-How-to-enable-Java-driver-logging-,How to enable Java driver logging ?,35,168,168,False,0,0,0,"java, bolt, jvm, logging, java driver, withLogging, debug, bolt debug, debugging, trace, fine",11,0,0,,
4409894078483,https://aura.support.neo4j.com/hc/en-us/articles/4409894078483-Finding-out-the-fixed-IP-address-to-provision-in-Firewall-for-an-AuraDB-Enterprise-tier,Finding out the fixed IP address to provision in Firewall for an AuraDB Enterprise tier,87,185,166,False,0,0,0,"security, firewall, ip address, enterprise, network, AuraDB, address, ip@, ip @",9,0,0,,"database, dbid"
4409819652755,https://aura.support.neo4j.com/hc/en-us/articles/4409819652755-Performing-data-store-compaction-using-an-AWS-EC2-instance-,Performing data store compaction (using an AWS EC2 instance) ,61,186,87,False,0,0,0,"size, storage, disk-space, disk, neo4j-admin copy, compact, compaction, store",8,0,0,,database
4408275273107,https://aura.support.neo4j.com/hc/en-us/articles/4408275273107-Where-does-the-data-handled-by-push-to-cloud-transit-,Where does the data handled by push-to-cloud transit ?,54,213,188,False,0,0,0,"push-to-cloud, location, resumable, staging, push to cloud",5,0,0,,database
4408177876371,https://aura.support.neo4j.com/hc/en-us/articles/4408177876371-How-to-improve-data-loading-batch-job-performance-,How to improve data loading batch job performance?,50,215,154,False,0,0,0,"performance, merge, index, create, load, slow",6,0,0,,database
4408105384083,https://aura.support.neo4j.com/hc/en-us/articles/4408105384083-Database-name-is-not-reflecting-in-neo4j-browser,Database name is not reflecting in neo4j browser,48,216,215,False,0,0,0,"aura, create, neo4j, database, create database, name, not reflecting, system",8,2,0,,database
4408091782675,https://aura.support.neo4j.com/hc/en-us/articles/4408091782675-How-to-compact-your-database-store-,How to compact your database store ?,36,216,213,False,0,0,0,,0,0,0,,database
4407906864147,https://aura.support.neo4j.com/hc/en-us/articles/4407906864147-How-to-use-WITH-keyword-in-cypher,How to use WITH keyword in cypher,33,220,220,False,0,0,0,"WITH, CYPHER, cypher query, average size, Invalid, aggregate",6,0,0,,
4407646914323,https://aura.support.neo4j.com/hc/en-us/articles/4407646914323-Multiple-OPTIONAL-MATCHES-in-one-cypher-query-timeouts,Multiple OPTIONAL MATCHES in one cypher query - timeouts,56,224,39,False,0,0,0,"query, optional match, optionmaches, pattern, comprehensions, pattern comprehensions, optional matches",7,0,0,,
4407446541459,https://aura.support.neo4j.com/hc/en-us/articles/4407446541459-Neo4jError-There-are-no-available-threads-to-serve-this-request-at-the-moment-,Neo4jError: There are no available threads to serve this request at the moment.,79,228,216,False,0,0,0,"threads, Neo4jError, pool, connectionpool, connection pool, withMaxConnectionPoolSize",6,0,0,,database
